fid,Baumnummer,Hoehe,Gattung,gebiet,Kronendurchm,pflanzjahr,strasse,Stammumfang,longitude,latitude
"81697","4022","6","Prunus spec., Kirsche, Pflaume",Liegenschaftsservice,3,,Bäume - Liegenschaftsservice,55,11.6464317142,52.0531134974
"81698","4023","6","Prunus spec., Kirsche, Pflaume",Liegenschaftsservice,3,,Bäume - Liegenschaftsservice,55,11.6464114893,52.0531217760
"81699","4024","6","Prunus spec., Kirsche, Pflaume",Liegenschaftsservice,3,,Bäume - Liegenschaftsservice,55,11.6463760869,52.0531299460
"81700","4025","8","Acer campestre, Feldahorn",Liegenschaftsservice,4,,Bäume - Liegenschaftsservice,84,11.6463607611,52.0531495358
"81701","4026","8","Prunus avium, Vogelkirsche",Liegenschaftsservice,4,,Bäume - Liegenschaftsservice,55,11.6463202824,52.0531680721
"81702","4027","8","Acer campestre, Feldahorn",Liegenschaftsservice,4,,Bäume - Liegenschaftsservice,192,11.6462854670,52.0531886395
"81703","4028","8","Prunus spec., Kirsche, Pflaume",Liegenschaftsservice,6,,Bäume - Liegenschaftsservice,194,11.6462420002,52.0532059838
"81704","4029","9","Prunus spec., Kirsche, Pflaume",Liegenschaftsservice,4,,Bäume - Liegenschaftsservice,130,11.6462206330,52.0531900063
"81705","4030","8","Acer campestre, Feldahorn",Liegenschaftsservice,4,,Bäume - Liegenschaftsservice,63,11.6461631786,52.0532323063
"81706","4031","12","Acer campestre, Feldahorn",Liegenschaftsservice,5,,Bäume - Liegenschaftsservice,95,11.6460994655,52.0532575699
"81707","4033","12","Acer campestre, Feldahorn",Liegenschaftsservice,5,,Bäume - Liegenschaftsservice,76,11.6460287212,52.0532946825
"81708","4034","8","Acer campestre, Feldahorn",Liegenschaftsservice,4,,Bäume - Liegenschaftsservice,104,11.6460025525,52.0533455425
"81709","4035","8","Acer campestre, Feldahorn",Liegenschaftsservice,3,,Bäume - Liegenschaftsservice,110,11.6459764819,52.0533561107
