fid,Baumnummer,Gattung,Stammumfang,Baumhoehe,Kronendurchmesser,Pflanzjahr,Objekt,Art,longitude,latitude
2697,  4371 - Lieg4371,"Prunus spec., Kirsche, Pflaume",73,6,3,0,Bäume - Liegenschaftsservice,Liegenschaftsservice,11.6493602772829,52.1809212790581
2698,  4372 - Lieg4372,"Prunus spec., Kirsche, Pflaume",140,12,7,0,Bäume - Liegenschaftsservice,Liegenschaftsservice,11.6493879514439,52.1809389131237
2699,  4373 - Lieg4373,"Prunus spec., Kirsche, Pflaume",71,7,5,0,Bäume - Liegenschaftsservice,Liegenschaftsservice,11.6494045968183,52.1809236106089
2700,  4374 - Lieg4374,"Prunus spec., Kirsche, Pflaume",95,12,6,0,Bäume - Liegenschaftsservice,Liegenschaftsservice,11.6495602485344,52.1809382788907
2701,  4375 - Lieg4375,"Prunus avium, Vogelkirsche",80,12,6,0,Bäume - Liegenschaftsservice,Liegenschaftsservice,11.6495396320402,52.1809114032735
2702,  4376 - Lieg4376,"Prunus spec., Kirsche, Pflaume",0,7,6,0,Bäume - Liegenschaftsservice,Liegenschaftsservice,11.6496151607931,52.1809293108556
2703,  4377 - Lieg4377,"Prunus spec., Kirsche, Pflaume",106,10,5,0,Bäume - Liegenschaftsservice,Liegenschaftsservice,11.649623556659,52.1809179707819
2704,  4378 - Lieg4378,"Prunus spec., Kirsche, Pflaume",166,10,6,0,Bäume - Liegenschaftsservice,Liegenschaftsservice,11.6496136613468,52.1808745768014
2705,  4379 - Lieg4379,"Prunus spec., Kirsche, Pflaume",166,12,6,0,Bäume - Liegenschaftsservice,Liegenschaftsservice,11.6495472347412,52.1808695046172
2706,  4380 - Lieg4380,"Prunus spec., Kirsche, Pflaume",240,7,6,0,Bäume - Liegenschaftsservice,Liegenschaftsservice,11.6494836897579,52.1808882891874
2707,  4381 - Lieg4381,"Prunus spec., Kirsche, Pflaume",74,7,5,0,Bäume - Liegenschaftsservice,Liegenschaftsservice,11.6493908405866,52.1808841703857
2708,  4382 - Lieg4382,"Prunus spec., Kirsche, Pflaume",50,7,3,0,Bäume - Liegenschaftsservice,Liegenschaftsservice,11.6494022679469,52.1808573840725
2709,  4383 - Lieg4383,"Prunus spec., Kirsche, Pflaume",112,7,5,0,Bäume - Liegenschaftsservice,Liegenschaftsservice,11.6494274747447,52.1808335256247
2710,  4384 - Lieg4384,"Prunus spec., Kirsche, Pflaume",154,6,5,0,Bäume - Liegenschaftsservice,Liegenschaftsservice,11.6494632448125,52.1807806520028
2711,  4385 - Lieg4385,"Prunus spec., Kirsche, Pflaume",108,6,5,0,Bäume - Liegenschaftsservice,Liegenschaftsservice,11.6494809471014,52.1807560628717
2712,  4386 - Lieg4386,"Prunus spec., Kirsche, Pflaume",216,7,6,0,Bäume - Liegenschaftsservice,Liegenschaftsservice,11.6495119717527,52.1807168753937
2713,  4387 - Lieg4387,"Prunus spec., Kirsche, Pflaume",154,6,4,0,Bäume - Liegenschaftsservice,Liegenschaftsservice,11.64955086029,52.1807238254624
2714,  4388 - Lieg4388,"Prunus spec., Kirsche, Pflaume",132,6,6,0,Bäume - Liegenschaftsservice,Liegenschaftsservice,11.6495316156403,52.1807003363797
2715,  4389 - Lieg4389,"Prunus spec., Kirsche, Pflaume",69,7,7,0,Bäume - Liegenschaftsservice,Liegenschaftsservice,11.6494492751996,52.1806613581862
2716,  4390 - Lieg4390,"Prunus spec., Kirsche, Pflaume",84,7,6,0,Bäume - Liegenschaftsservice,Liegenschaftsservice,11.6494351683989,52.1805791188673
2717,  4391 - Lieg4391,"Prunus spec., Kirsche, Pflaume",96,7,5,0,Bäume - Liegenschaftsservice,Liegenschaftsservice,11.6495330713872,52.1806239525647
2718,  4392 - Lieg4392,"Prunus spec., Kirsche, Pflaume",65,5,4,0,Bäume - Liegenschaftsservice,Liegenschaftsservice,11.6495497727437,52.1806268147559
2719,  4393 - Lieg4393,"Prunus spec., Kirsche, Pflaume",164,9,5,0,Bäume - Liegenschaftsservice,Liegenschaftsservice,11.6495310177087,52.180648459845
2720,  4394 - Lieg4394,"Prunus spec., Kirsche, Pflaume",50,6,2,0,Bäume - Liegenschaftsservice,Liegenschaftsservice,11.6495673487946,52.1806320854154
2721,  4395 - Lieg4395,"Prunus spec., Kirsche, Pflaume",166,9,6,0,Bäume - Liegenschaftsservice,Liegenschaftsservice,11.6496043650364,52.1806321528821
2722,  4396 - Lieg4396,"Prunus spec., Kirsche, Pflaume",190,7,6,0,Bäume - Liegenschaftsservice,Liegenschaftsservice,11.6495726728068,52.1805494094571
